"cleanliness_diff","social_diff","sleep_diff","guestPolicy_diff","noise_diff","cooking_diff","workSchedule_diff","petFriendly_diff","score"
"4","1","1","0","0","0","4","3","71"
"1","2","3","2","2","3","2","1","57"
"4","0","0","3","1","0","3","1","69"
"0","1","0","4","2","1","4","0","71"
"0","0","2","4","0","0","2","4","71"
"1","1","2","3","0","2","2","4","62"
"2","0","1","0","3","4","4","2","64"
"3","4","0","3","2","3","1","3","53"
"0","1","1","3","1","4","4","4","64"
"3","2","4","3","0","1","0","3","58"
"1","1","3","4","1","0","4","0","66"
"4","3","3","2","1","2","2","0","60"
"4","1","1","1","0","2","0","0","76"
"0","0","4","4","1","4","1","0","65"
"3","3","1","3","4","2","2","3","40"
"0","1","0","2","2","1","1","3","75"
"0","0","4","0","0","2","0","2","80"
"3","4","3","1","4","2","3","0","50"
"2","2","4","1","1","1","0","1","67"
"2","3","3","3","3","3","2","0","51"
"0","4","3","3","1","3","2","1","56"
"1","1","3","1","1","0","2","1","67"
"1","2","2","3","3","0","0","1","62"
"4","4","1","3","4","3","2","0","48"
"3","0","3","2","3","0","2","4","51"
"0","2","0","1","1","4","4","0","74"
"1","0","4","3","3","0","4","3","56"
"0","4","2","1","4","4","0","0","63"
"1","0","3","1","1","3","2","4","60"
"3","4","3","1","3","3","1","4","37"
"2","0","1","0","2","0","1","1","81"
"3","3","3","4","3","1","4","0","45"
"1","0","4","1","3","1","3","4","63"
"0","3","1","4","4","1","1","1","65"
"0","0","1","0","4","2","0","0","84"
"0","1","4","4","0","0","0","1","73"
"2","4","0","4","0","1","4","4","57"
"4","4","0","4","0","4","0","2","58"
"2","3","3","0","1","2","0","3","64"
"3","2","1","0","1","1","2","1","69"
"1","1","2","4","1","4","4","2","61"
"0","4","4","0","3","1","3","4","57"
"4","1","1","0","4","1","3","4","49"
"2","3","0","4","2","2","0","3","61"
"4","4","1","0","3","4","0","1","56"
"1","0","4","2","0","0","1","0","80"
"1","3","3","0","4","1","0","0","71"
"2","1","1","1","3","0","4","2","73"
"0","1","3","0","1","1","3","0","79"
"1","1","1","3","4","0","1","3","64"
"2","0","0","2","1","1","0","4","77"
"0","0","3","1","2","4","1","0","73"
"2","2","2","1","3","3","0","0","64"
"0","4","1","1","2","0","4","0","75"
"3","3","0","2","1","2","2","3","63"
"3","1","2","4","4","1","3","1","49"
"0","3","1","2","0","3","4","3","63"
"4","4","0","3","3","0","1","2","54"
"2","2","3","4","2","3","4","0","53"
"2","0","4","0","1","3","1","1","71"
"1","1","2","1","0","1","2","0","78"
"0","3","4","0","3","0","4","0","65"
"4","1","4","3","2","4","0","4","36"
"1","1","3","3","1","1","3","1","67"
"4","4","0","3","3","0","2","3","53"
"4","0","1","4","1","1","2","2","64"
"2","0","4","2","3","3","4","1","49"
"2","1","2","3","2","2","1","2","56"
"2","0","0","4","2","0","0","3","69"
"4","4","1","2","0","1","0","1","65"
"1","3","0","2","1","1","2","2","70"
"2","2","0","2","4","3","2","0","67"
"4","4","0","4","0","1","0","3","58"
"0","1","1","0","4","1","1","0","79"
"0","2","3","1","0","0","0","4","76"
"4","0","2","1","3","1","4","1","63"
"2","3","1","2","4","0","3","4","52"
"0","3","4","3","4","4","3","3","45"
"1","1","1","2","0","1","2","3","79"
"3","3","0","1","3","1","4","1","62"
"0","1","4","2","0","1","1","1","69"
"0","0","0","0","3","0","4","0","91"
"4","4","4","1","3","2","0","3","47"
"1","0","2","2","1","4","2","4","64"
"2","0","2","2","3","1","2","4","59"
"4","0","4","0","1","3","0","0","65"
"3","1","3","0","0","4","0","1","70"
"0","2","0","4","0","2","2","1","78"
"1","3","3","0","3","0","3","0","62"
"4","0","0","3","4","3","2","4","49"
"4","1","0","4","3","0","4","0","60"
"3","3","1","3","3","2","1","0","57"
"1","0","4","0","1","1","3","3","71"
"2","1","1","0","4","0","0","1","79"
"1","4","3","1","0","2","2","4","60"
"0","3","2","3","1","1","1","2","65"
"2","2","2","0","3","1","2","1","66"
"0","4","4","0","3","3","4","3","50"
"4","0","0","0","2","3","0","2","70"
"0","2","2","3","1","3","4","0","62"
"0","3","2","2","0","1","0","1","86"
"2","1","0","2","1","1","0","4","72"
"0","0","1","3","1","1","0","0","88"
"0","2","2","0","2","3","2","1","68"
"4","4","3","4","4","0","3","0","43"
"0","2","3","4","0","0","0","1","68"
"1","4","3","2","1","4","1","2","57"
"4","1","4","2","0","1","0","3","64"
"2","4","2","3","0","0","1","1","64"
"0","1","3","2","4","1","0","4","66"
"3","4","0","3","0","0","1","3","62"
"3","3","0","2","4","1","2","1","66"
"4","2","2","4","1","1","1","4","54"
"2","4","2","0","4","3","3","1","55"
"0","1","2","4","4","3","3","0","56"
"1","1","2","0","0","2","1","2","82"
"0","0","1","3","3","0","1","4","71"
"4","2","0","1","1","4","3","1","63"
"3","0","0","2","1","2","1","1","75"
"2","3","4","1","2","1","2","3","50"
"4","4","0","1","1","0","3","4","58"
"2","2","1","4","1","0","4","4","59"
"3","2","1","0","0","4","2","1","71"
"1","2","1","1","3","1","4","1","68"
"0","0","3","4","3","3","3","3","56"
"1","3","1","2","1","2","0","0","75"
"0","2","3","3","3","1","3","3","55"
"1","3","4","1","2","0","2","3","57"
"4","1","4","0","3","0","1","3","68"
"1","0","1","4","1","1","3","4","61"
"4","0","1","4","1","1","0","3","60"
"3","2","3","2","1","3","4","3","50"
"4","3","3","4","1","2","1","4","37"
"1","0","2","2","4","1","3","0","65"
"1","0","0","1","0","2","0","2","87"
"0","0","0","0","1","3","1","0","87"
"2","4","0","4","3","1","3","2","53"
"3","4","4","4","3","3","3","1","29"
"4","0","0","2","1","3","4","3","67"
"2","2","0","0","3","2","4","3","60"
"1","2","4","0","1","3","4","1","62"
"2","1","2","1","0","2","3","3","70"
"0","3","0","0","3","0","2","1","81"
"4","1","1","1","3","0","4","4","52"
"1","4","1","4","1","3","4","1","61"
"0","3","1","4","0","4","1","0","70"
"0","3","1","4","3","1","4","3","55"
"3","4","1","3","4","3","2","2","49"
"0","1","0","3","2","4","4","3","62"
"1","4","1","1","2","2","1","3","66"
"3","1","3","1","0","4","2","4","56"
"1","0","4","4","0","2","1","1","64"
"2","0","1","1","4","3","4","0","66"
"0","1","1","4","4","3","0","0","64"
"2","2","3","4","3","3","4","4","43"
"3","2","3","2","1","4","4","3","45"
"0","1","0","1","3","1","2","3","72"
"0","0","0","3","1","2","1","4","80"
"1","1","0","0","0","4","2","3","83"
"1","0","3","4","4","4","0","0","57"
"1","2","0","3","1","2","3","3","65"
"3","0","3","1","4","1","1","1","66"
"1","3","2","0","4","4","1","3","59"
"2","2","3","1","1","0","4","2","59"
"2","4","2","1","0","2","3","2","61"
"1","4","1","0","0","0","0","0","81"
"4","0","0","1","0","0","3","1","77"
"2","3","3","4","4","2","4","4","34"
"2","2","2","0","4","2","4","1","56"
"3","3","0","4","1","0","2","1","66"
"3","2","3","0","4","2","2","3","50"
"1","3","4","4","3","2","2","4","47"
"2","2","0","2","2","4","0","4","60"
"4","1","4","2","2","0","2","3","48"
"3","0","1","2","3","0","4","2","64"
"1","4","4","4","2","1","2","4","43"
"1","0","3","2","4","3","4","1","57"
"0","4","3","3","1","1","0","2","60"
"2","0","3","3","0","2","4","1","66"
"3","1","0","1","3","4","4","0","64"
"1","1","1","3","2","0","3","3","70"
"0","3","2","4","4","0","1","2","63"
"0","1","0","4","1","4","4","3","65"
"2","0","3","4","2","3","2","3","50"
"1","2","2","4","0","0","4","0","66"
"1","4","2","1","4","1","3","1","60"
"0","2","3","2","4","0","1","3","63"
"3","0","4","0","2","1","2","1","66"
"4","0","4","0","3","4","0","0","58"
"3","1","2","0","0","0","4","3","66"
"0","1","1","3","1","1","0","2","79"
"1","2","0","0","1","4","2","4","68"
"3","1","4","3","1","0","0","1","63"
"4","3","4","0","3","3","4","2","41"
"0","1","0","0","0","1","1","3","88"
"4","1","2","0","3","0","2","3","60"
"2","0","1","3","3","1","1","2","63"
"0","2","0","4","0","3","0","3","68"
"4","2","4","2","3","3","1","4","37"
"4","0","0","0","1","4","1","1","71"
"0","4","1","1","4","2","0","1","63"
"3","2","1","3","4","1","4","4","49"
"4","4","3","3","0","4","0","2","48"
"1","3","2","2","1","4","0","2","65"
"0","3","4","4","0","4","1","0","60"
"4","0","3","2","1","0","1","2","66"
"1","1","4","1","0","4","4","0","66"
"0","2","4","1","3","2","1","3","58"
"0","0","1","0","0","4","3","3","77"
"3","4","1","2","2","0","3","4","54"
"2","2","4","2","0","0","2","0","71"
"1","2","0","0","2","0","4","3","74"
"4","1","1","1","1","0","2","3","64"
"0","2","0","0","1","0","0","2","83"
"1","3","4","2","4","4","2","0","49"
"0","2","2","0","2","1","4","4","67"
"2","1","1","2","3","4","1","3","62"
"3","2","2","1","2","4","2","0","62"
"1","2","3","1","0","3","1","3","70"
"4","1","1","2","4","3","4","2","46"
"3","2","3","1","4","4","1","3","42"
"3","2","1","4","1","3","4","2","58"
"0","1","2","1","4","4","3","1","61"
"1","1","1","1","4","0","1","0","75"
"1","1","0","1","3","2","1","2","72"
"4","0","1","0","4","3","3","1","63"
"3","4","4","1","1","3","2","1","46"
"3","4","3","3","4","3","0","1","50"
"4","1","0","3","3","2","3","1","56"
"3","3","3","1","1","3","4","0","58"
"4","0","0","0","1","1","4","1","74"
"2","3","4","3","2","2","1","3","49"
"0","1","4","1","0","3","2","1","74"
"1","0","2","1","0","0","4","0","86"
"1","1","2","1","3","1","2","3","63"
"0","3","1","2","0","0","3","0","81"
"3","1","1","3","0","0","2","1","71"
"1","2","2","1","0","3","3","1","72"
"1","3","4","1","3","1","1","0","69"
"1","4","4","3","2","4","4","4","41"
"1","3","0","2","2","4","4","1","57"
"0","2","1","2","4","1","0","1","70"
"4","0","0","2","4","0","4","0","65"
"2","0","4","0","4","0","2","0","68"
"0","4","0","4","4","1","0","3","55"
"0","2","1","4","0","0","4","1","73"
"3","2","0","0","2","3","2","1","67"
"1","0","1","0","0","3","3","0","80"
"0","3","0","1","1","4","2","2","72"
"2","1","0","1","0","0","1","3","79"
"2","0","1","4","3","1","2","4","60"
"1","4","4","0","1","1","3","0","62"
"1","1","3","0","0","2","3","3","68"
"3","3","1","0","0","3","1","1","69"
"4","2","4","0","0","3","0","2","59"
"4","3","0","0","0","2","2","3","60"
"1","4","4","1","3","0","3","0","56"
"1","1","4","1","0","0","0","1","80"
"0","3","1","0","1","3","2","0","84"
"0","0","1","3","4","4","1","4","64"
"0","1","1","1","1","4","4","1","70"
"2","3","2","0","1","3","1","1","64"
"1","1","1","3","1","0","1","2","73"
"2","3","4","1","0","2","3","2","57"
"2","1","3","0","1","0","2","0","73"
"3","0","4","1","1","4","0","0","64"
"2","0","2","3","4","0","4","3","61"
"3","0","4","2","4","0","4","3","51"
"4","1","4","4","3","0","3","0","50"
"4","0","4","1","1","2","1","3","54"
"3","1","1","3","1","3","1","0","69"
"1","0","3","4","0","1","4","4","62"
"0","4","4","0","3","3","4","3","52"
"0","0","4","0","1","2","2","1","75"
"2","1","3","0","0","3","1","2","69"
"1","3","0","1","4","4","2","3","63"
"1","0","3","0","1","3","0","0","78"
"0","2","0","1","4","1","0","1","82"
"0","1","1","3","1","0","3","1","78"
"4","2","3","2","4","4","1","3","45"
"0","3","0","0","2","0","0","1","87"
"1","4","0","0","1","1","4","3","70"
"3","0","3","0","1","1","1","1","74"
"0","1","3","4","2","1","1","0","67"
"1","3","2","2","2","3","0","2","57"
"4","1","0","4","1","0","1","2","66"
"4","2","3","0","4","0","3","4","52"
"0","1","0","4","2","1","1","4","69"
"1","2","2","0","2","1","0","0","84"
"0","2","0","4","3","2","2","2","62"
"2","0","0","2","4","3","3","0","71"
"2","1","0","2","4","3","2","3","57"
"2","4","1","2","4","3","2","0","59"
"4","2","3","0","1","0","1","3","61"
"1","4","1","1","0","3","0","2","66"
"4","4","2","3","3","3","0","1","46"
"1","2","3","0","1","1","4","1","69"
"0","4","1","3","2","4","0","0","65"
"2","3","0","0","3","4","1","0","69"
"4","3","2","2","4","4","4","4","31"
"2","1","2","3","1","0","3","3","61"
"3","4","0","4","4","4","0","0","48"
"1","4","1","1","3","0","0","4","65"
"2","3","0","1","0","1","0","3","76"
"4","0","0","2","4","0","4","2","58"
"3","4","1","3","0","2","0","0","68"
"4","0","0","3","4","4","1","2","53"
"3","4","3","1","0","2","0","0","64"
"1","1","0","0","3","3","0","3","75"
"1","1","2","3","0","0","1","3","67"
"4","3","0","1","0","1","4","3","60"
"0","1","0","1","1","1","0","1","87"
"1","1","2","0","0","2","1","2","86"
"3","0","1","3","0","4","3","4","57"
"0","0","1","2","2","1","0","0","79"
"3","0","2","4","0","3","1","4","55"
"1","2","1","1","3","4","2","4","54"
"3","4","2","0","3","3","1","2","58"
"2","3","1","4","3","4","4","1","44"
"0","1","1","1","2","2","3","0","76"
"2","1","1","1","1","0","4","0","81"
"4","0","4","0","2","3","1","3","56"
"2","1","1","1","3","2","0","3","69"
"1","3","3","0","3","2","2","2","63"
"0","1","2","2","2","3","3","2","69"
"0","4","2","2","3","2","3","2","52"
"2","0","2","2","3","2","2","1","64"
"4","2","1","1","3","0","0","0","67"
"2","2","0","3","2","1","0","3","66"
"1","2","0","0","3","1","2","0","81"
"0","3","0","1","1","1","2","3","73"
"1","2","0","3","0","0","2","4","76"
"2","0","4","1","2","3","3","1","59"
"2","2","4","0","1","0","3","3","70"
"2","3","2","0","1","1","0","3","76"
"0","4","3","1","4","0","1","2","60"
"0","3","2","2","1","2","4","4","58"
"0","2","1","1","1","3","1","3","70"
"2","3","4","1","3","0","4","0","56"
"0","0","2","3","1","4","1","4","67"
"0","1","2","0","3","1","1","1","77"
"0","0","2","1","0","3","0","0","84"
"3","2","0","0","1","2","1","0","71"
"4","2","1","4","2","2","4","4","36"
"4","1","0","1","1","4","4","1","67"
"2","3","0","3","2","1","0","2","64"
"3","0","4","1","4","3","4","3","47"
"1","0","0","1","0","2","0","4","79"
"0","2","0","2","1","1","4","1","80"
"0","4","0","1","4","1","0","1","73"
"1","3","3","4","1","0","3","0","64"
"3","3","3","3","3","3","2","2","43"
"1","3","4","1","0","1","1","1","70"
"0","1","3","0","4","2","4","2","64"
"1","1","0","4","1","1","0","2","77"
"4","2","2","1","2","2","3","0","63"
"3","3","0","1","2","0","3","4","60"
"3","3","1","4","3","1","4","3","43"
"3","3","2","1","3","4","0","1","62"
"2","4","0","1","4","2","0","2","59"
"0","2","4","3","1","3","2","1","59"
"3","0","4","0","3","0","3","1","65"
"3","4","1","2","3","0","2","2","55"
"1","0","1","3","3","3","3","3","61"
"1","1","0","3","0","0","4","4","72"
"2","2","4","4","4","1","3","2","43"
"4","3","4","3","1","3","4","1","43"
"2","1","3","0","0","0","3","1","73"
"2","2","3","4","0","2","2","3","59"
"3","2","1","3","1","2","4","0","63"
"1","4","1","4","2","0","4","1","60"
"0","1","0","2","0","0","1","1","89"
"2","2","0","3","0","2","4","0","68"
"0","0","1","0","1","1","1","2","86"
"0","2","4","4","0","2","3","4","55"
"1","1","4","1","2","4","3","4","54"
"0","4","3","0","3","0","1","1","75"
"0","4","3","3","3","4","4","4","42"
"2","3","2","2","0","1","3","2","66"
"0","3","4","3","4","1","3","0","50"
"1","4","2","0","4","3","1","0","63"
"2","4","4","1","0","0","2","0","64"
"1","3","0","4","2","0","2","4","57"
"3","0","1","0","0","1","0","2","85"
"1","0","1","2","2","0","2","4","73"
"2","2","2","0","1","1","2","4","64"
"3","0","3","1","2","0","4","1","66"
"4","4","0","1","0","1","4","1","62"
"1","1","1","2","4","0","0","3","66"
"1","2","4","0","1","2","3","3","58"
"0","0","0","1","1","4","4","2","78"
"2","3","3","1","4","0","1","1","66"
"2","4","2","4","0","0","1","0","63"
"0","0","0","3","0","1","2","0","84"
"4","0","4","2","2","1","3","1","54"
"0","2","2","4","1","2","4","0","66"
"3","0","3","4","2","0","4","3","47"
"4","4","3","3","0","1","3","0","50"
"2","1","2","3","1","0","4","0","69"
"0","2","3","1","3","3","4","3","57"
"3","3","1","4","3","1","1","0","55"
"2","3","3","0","1","2","0","2","70"
"4","1","4","4","1","1","3","4","42"
"0","3","2","4","0","0","0","1","72"
"3","3","0","0","3","4","3","0","64"
"3","1","0","1","3","1","0","0","70"
"1","0","2","2","3","2","3","2","63"
"1","3","0","3","1","2","2","1","69"
"1","3","1","3","1","0","2","0","74"
"3","4","1","1","2","2","1","2","59"
"1","3","2","0","1","3","3","2","58"
"1","1","3","0","3","1","4","1","64"
"0","0","0","1","1","1","1","2","82"
"2","0","0","0","4","0","4","0","76"
"2","4","1","1","4","1","0","2","60"
"2","1","0","0","2","2","0","0","81"
"4","1","1","4","1","0","2","3","60"
"0","0","0","0","1","0","4","2","86"
"0","0","1","0","2","2","4","3","70"
"3","2","2","3","2","1","1","0","60"
"1","3","0","0","4","1","1","2","71"
"1","2","1","4","0","0","4","0","70"
"0","4","3","3","1","1","0","2","59"
"4","4","0","1","3","1","3","1","56"
"2","3","1","4","1","0","3","0","65"
"0","4","3","1","1","1","3","0","68"
"0","1","3","3","2","0","0","3","65"
"1","4","0","3","1","2","4","4","57"
"4","0","1","4","2","0","0","3","56"
"3","0","1","0","3","1","1","4","64"
"0","3","4","3","3","3","1","0","56"
"2","3","3","2","1","3","0","1","58"
"3","3","0","2","3","2","0","4","57"
"0","2","3","1","1","4","3","1","66"
"0","3","0","1","0","0","2","4","76"
"0","0","0","1","0","1","4","4","82"
"0","2","1","1","2","0","3","2","72"
"2","0","3","4","3","0","0","1","66"
"3","1","2","1","3","2","0","0","71"
"3","0","3","0","3","1","3","0","67"
"0","2","1","2","4","3","3","4","58"
"2","0","4","4","4","0","1","0","57"
"2","1","1","0","1","2","1","1","79"
"4","1","4","0","1","0","2","0","70"
"4","1","4","4","3","4","1","4","39"
"4","2","1","1","4","0","2","3","55"
"0","1","1","0","1","0","1","1","87"
"2","0","1","4","2","4","2","3","60"
"0","3","4","0","0","4","3","3","66"
"0","1","0","0","3","4","1","1","82"
"1","1","1","4","1","4","0","0","71"
"2","4","4","2","3","4","3","4","33"
"2","1","2","0","3","2","1","0","67"
"1","4","0","0","3","2","3","1","68"
"2","3","2","2","0","0","3","1","60"
"1","2","0","0","1","0","0","1","90"
"4","0","0","2","0","2","1","4","66"
"1","1","0","0","2","2","1","3","78"
"4","2","3","3","2","2","1","4","43"
"1","3","1","3","1","4","1","3","58"
"0","2","4","4","4","0","3","3","51"
"3","4","3","0","0","0","4","0","64"
"0","0","4","4","0","1","2","1","66"
"3","1","2","1","0","2","2","2","73"
"1","0","4","2","1","1","3","4","56"
"2","3","1","0","0","3","1","4","69"
"4","1","0","3","4","0","4","1","58"
"3","0","0","1","0","1","3","4","71"
"4","0","1","1","2","1","0","1","68"
"1","3","4","3","1","0","4","4","52"
"1","1","4","2","0","1","2","4","61"
"0","4","3","4","0","2","3","1","62"
"1","4","2","1","4","0","2","2","58"
"4","1","3","4","0","4","4","3","46"
"3","4","4","4","0","0","1","2","51"
"0","1","4","4","4","3","1","1","49"
"1","1","4","3","0","0","1","1","62"
"0","1","1","2","2","1","0","0","79"
"2","4","0","0","4","0","4","3","58"
"0","0","1","0","4","3","2","2","71"
"0","1","2","3","2","4","3","3","58"
"1","0","4","3","2","3","1","0","62"
"2","0","4","2","4","2","1","1","53"
"3","2","2","4","3","1","4","1","52"
"0","1","4","4","3","3","2","1","55"
"4","1","0","2","4","3","3","0","59"
"0","4","2","4","2","2","4","0","60"
"2","1","4","4","1","0","0","1","67"
"4","0","1","2","1","0","1","4","68"
"3","1","2","0","1","4","0","1","70"
"0","2","2","4","3","0","0","0","68"
"0","2","4","3","4","4","0","2","52"
"1","4","4","3","0","4","3","0","52"
"2","0","1","3","1","0","3","1","74"
"4","1","3","4","3","1","3","0","49"
"2","2","0","0","1","0","0","3","80"
"0","2","0","0","0","0","3","1","92"
"2","1","1","1","2","1","3","0","71"
"4","1","4","0","0","0","1","2","69"
"0","1","1","0","3","3","1","4","72"
"1","2","4","3","0","2","0","1","65"
"1","4","0","2","2","1","4","2","63"
"2","2","0","1","3","1","3","3","67"
"1","0","2","0","0","4","4","3","67"
"4","2","1","3","0","0","3","1","63"
"0","2","1","1","1","0","1","0","82"
"3","0","3","1","1","0","0","0","79"
"4","1","4","4","3","3","0","2","39"
"0","0","1","2","2","1","4","1","79"
"1","1","2","4","2","0","0","1","72"
"2","1","1","4","2","1","3","2","59"
"0","1","1","4","2","3","1","4","60"
"2","2","0","4","1","4","3","2","58"
"2","2","2","2","0","3","1","2","65"
"2","3","1","2","0","2","3","3","63"
"0","0","2","0","3","3","1","0","78"
"4","3","0","0","2","0","1","1","70"
"3","1","4","1","1","0","1","0","68"
"1","3","0","1","0","3","1","3","72"
"0","4","0","0","3","4","4","1","59"
"0","0","1","0","0","0","0","0","96"
"0","0","0","4","0","1","0","0","87"
"4","2","0","1","0","2","2","3","63"
"2","2","3","1","2","2","3","0","58"
"0","1","1","1","3","4","3","3","61"
"0","0","3","0","3","1","1","1","78"
"2","1","2","2","3","1","4","1","61"
"1","4","4","4","4","3","3","1","40"
"0","4","1","0","1","0","3","4","68"
"1","2","3","1","1","2","0","2","68"
"0","1","4","1","1","1","2","4","64"
"4","3","3","0","4","0","4","0","56"
"2","1","1","2","1","0","3","1","69"
"4","0","0","3","0","2","2","1","72"
"0","3","2","4","0","2","4","4","56"
"0","1","3","3","0","2","2","1","75"
"0","1","0","1","4","4","1","3","63"
"0","2","1","0","3","0","0","1","82"
"3","4","1","0","0","1","1","3","68"
"0","1","0","1","1","0","0","0","89"
"2","0","1","1","4","2","0","1","65"
"0","1","3","2","4","4","3","1","60"
"1","0","4","0","0","2","3","2","78"
"3","2","1","0","2","1","0","2","79"
"4","0","4","0","3","3","2","2","55"
"3","4","1","4","4","2","0","3","44"
"3","2","0","3","3","4","0","4","52"
"1","2","2","3","4","4","4","4","46"
"3","3","0","1","2","3","1","3","64"
"0","1","2","0","0","1","1","4","81"
"1","0","2","0","3","1","1","4","75"
"1","1","4","0","0","0","1","2","72"
"2","0","1","2","2","0","2","1","80"
"4","2","3","2","0","1","4","3","51"
"2","0","1","1","1","2","1","4","72"
"4","4","2","3","0","2","1","0","59"
"1","4","0","1","0","0","1","3","72"
"4","0","1","0","4","0","0","2","65"
"0","2","0","1","1","1","2","2","80"
"2","2","4","2","4","1","3","0","51"
"1","2","4","1","1","0","2","3","63"
"0","4","4","3","0","3","0","3","56"
"0","4","4","1","1","1","0","1","71"
"2","1","2","4","4","2","1","3","49"
"2","1","2","0","1","4","4","0","66"
"0","2","1","3","0","4","4","2","68"
"2","3","2","3","0","1","0","3","58"
"3","2","4","3","0","1","1","2","58"
"2","2","0","0","4","0","1","4","64"
"3","4","1","4","4","3","0","0","48"
"1","3","3","1","1","1","0","0","72"
"1","4","4","4","4","4","4","0","44"
"0","1","2","4","0","0","1","0","79"
"3","0","0","2","1","3","4","3","69"
"3","0","0","1","2","1","0","0","78"
"1","1","1","0","4","4","0","0","74"
"3","4","1","0","0","1","0","3","71"
"4","0","4","1","2","1","1","2","59"
"1","0","4","3","3","4","2","2","59"
"4","0","4","2","1","1","1","4","56"
"2","0","3","1","0","4","3","0","71"
"1","4","4","1","0","4","3","4","50"
"4","1","1","2","0","1","0","3","68"
"3","0","1","1","0","0","1","1","82"
"2","2","2","2","1","2","3","0","60"
"3","3","0","0","1","4","0","2","65"
"4","4","2","4","2","4","2","4","35"
"0","2","0","0","1","0","3","0","86"
"0","4","3","0","1","0","2","3","65"
"1","0","3","0","0","1","1","2","77"
"1","3","2","2","2","0","2","1","67"
"1","2","3","0","1","2","1","1","71"
"3","2","4","0","4","1","0","0","58"
"4","1","3","1","4","1","4","3","43"
"3","1","4","0","0","1","3","2","67"
"2","1","2","0","2","1","1","3","72"
"3","0","1","3","1","2","0","1","69"
"4","3","0","1","3","4","4","4","46"
"2","3","1","3","3","3","2","0","55"
"1","1","2","0","3","1","0","0","79"
"1","1","3","4","2","4","2","1","50"
"3","1","3","2","2","3","2","1","57"
"2","3","3","2","0","2","3","0","63"
"0","4","0","4","3","4","4","3","46"
"1","3","1","2","2","1","2","3","63"
"2","3","4","1","0","1","4","4","54"
"1","0","2","4","2","2","1","0","72"
"0","1","4","0","3","1","4","3","62"
"0","2","4","0","3","0","1","3","63"
"4","1","3","4","0","0","3","1","57"
"3","4","4","4","1","1","4","1","45"
"1","2","1","4","4","3","3","0","49"
"2","1","2","0","0","4","1","3","71"
"4","2","0","0","2","4","1","1","69"
"1","4","3","3","4","0","4","2","50"
"3","3","0","4","1","1","0","0","71"
"4","0","1","1","1","3","3","0","70"
"2","1","2","4","2","4","0","3","57"
"2","3","0","0","1","2","0","3","75"
"3","0","3","2","0","1","1","4","62"
"0","1","1","0","3","1","0","3","81"
"0","3","1","4","4","3","0","1","57"
"4","0","3","0","2","0","3","0","71"
"3","4","4","4","1","1","2","2","46"
"1","1","2","1","0","0","4","4","71"
"2","2","0","4","0","4","0","2","64"
"2","3","2","2","0","0","1","3","63"
"0","1","4","4","2","2","3","4","50"
"4","3","1","4","1","4","2","2","51"
"1","2","1","1","4","3","0","2","63"
"3","2","4","0","1","2","0","3","61"
"4","1","1","1","1","3","2","2","65"
"1","0","2","4","3","3","2","3","62"
"3","4","4","1","0","4","0","1","58"
"3","4","4","0","4","3","1","1","50"
"1","2","4","1","2","1","1","4","58"
"2","4","3","2","1","2","3","4","48"
"4","1","1","3","4","1","0","1","54"
"4","2","4","3","2","0","1","0","55"
"3","1","0","3","1","3","0","2","68"
"4","4","1","2","2","3","1","4","51"
"0","0","3","1","0","1","1","1","77"
"0","0","4","0","4","3","4","1","56"
"2","3","1","1","2","0","2","1","70"
"0","0","1","4","1","2","0","1","75"
"4","0","2","4","4","2","4","3","45"
"0","3","1","0","2","0","1","2","87"
"4","3","1","1","3","0","1","0","68"
"4","2","1","0","0","4","1","3","62"
"0","2","4","0","2","2","1","1","72"
"1","1","1","1","3","2","2","3","70"
"1","2","1","0","1","0","2","1","81"
"1","1","1","2","2","0","4","4","65"
"0","1","1","2","3","4","3","0","69"
"1","2","1","3","0","4","4","0","65"
"3","1","3","2","4","2","2","1","48"
"3","4","2","1","2","0","1","0","65"
"2","2","4","0","0","1","1","1","72"
"2","0","4","0","2","3","3","1","63"
"1","2","1","3","1","1","3","3","64"
"3","0","4","0","2","0","4","3","56"
"1","0","1","2","4","0","1","0","79"
"3","3","4","1","2","1","0","2","57"
"3","0","3","1","3","1","4","2","58"
"0","3","0","0","4","2","2","4","66"
"0","1","2","4","0","2","3","0","68"
"1","0","0","1","0","3","1","1","84"
"1","3","2","2","3","4","0","1","62"
"1","1","0","2","1","0","3","1","81"
"1","1","1","2","0","0","0","4","78"
"3","3","1","0","4","0","0","2","65"
"4","1","3","1","1","0","0","3","65"
"0","3","4","4","1","1","0","0","64"
"4","1","1","4","3","2","1","2","55"
"3","4","2","2","3","2","1","1","53"
"1","0","3","1","1","4","2","0","74"
"1","3","0","3","0","1","1","1","77"
"2","4","0","4","3","1","2","2","57"
"1","0","4","4","2","1","4","1","54"
"0","3","3","1","4","2","1","3","57"
"1","0","4","4","2","0","1","2","64"
"2","0","3","3","1","3","1","1","66"
"0","1","2","3","2","0","4","4","65"
"4","0","1","0","1","4","2","3","58"
"3","2","4","0","3","1","4","0","64"
"1","0","4","3","2","3","2","1","59"
"4","1","0","2","0","2","3","0","70"
"3","4","1","0","2","4","3","2","51"
"4","2","3","0","0","4","2","2","58"
"3","0","4","0","4","0","4","0","60"
"1","1","0","4","1","0","3","0","72"
"3","2","0","3","2","4","1","1","60"
"2","4","1","3","1","1","3","1","58"
"4","0","1","4","1","2","4","4","54"
"3","3","0","0","0","2","3","3","69"
"3","0","2","4","0","1","4","3","57"
